"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP"
"685","Garrett Pilon","WSH","C","2","18.05","1","0","0","0","1","100.00"
"686","Fredrik Karlstrom","DAL","C","3","17.883333333333","0","1","1","0","1","50.00"
"691","Linus Hogberg","PHI","D","5","79.383333333333","0","1","0","1","1","100.00"
"709","Mathieu Olivier","NSH","R","10","92.233333333333","0","1","1","0","1","100.00"
"735","Cody Glass","NSH","C","8","74.866666666667","0","1","0","1","1","100.00"
"766","Reilly Walsh","N.J","D","1","13.4","0","1","0","1","1","100.00"
"775","Lias Andersson","L.A","C","20","195.55","1","0","0","0","1","33.33"
"804","Jayden Halbgewachs","S.J","L","3","36.966666666667","0","1","1","0","1","33.33"
"805","Grant Hutton","NYI","D","16","212.08333333333","1","0","0","0","1","16.67"
"807","Sean Walker","L.A","D","6","89.433333333333","0","1","1","0","1","50.00"
"839","Alec Regula","CHI","D","15","230.88333333333","1","0","0","0","1","10.00"
"853","Gabriel Fortier","T.B","L","10","89.366666666667","1","0","0","0","1","100.00"
"859","Jacob Bernard-Docker","OTT","D","8","114.36666666667","0","1","1","0","1","16.67"
"862","Jordan Harris","MTL","D","10","152.8","1","0","0","0","1","12.50"
"866","Juuso Riikola","PIT","D","5","57.416666666667","0","1","0","1","1","25.00"
"873","Josiah Slavin","CHI","L","15","162.9","0","1","1","0","1","50.00"
"881","John Leonard","S.J","L","14","144.36666666667","1","0","0","0","1","50.00"
"882","Rafael Harvey-Pinard","MTL","L","4","43.633333333333","1","0","0","0","1","33.33"
"887","Jake Christiansen","CBJ","D","8","75.366666666667","1","0","0","0","1","33.33"
"918","Mattias Norlinder","MTL","D","6","71.866666666667","0","1","0","1","1","33.33"
"928","Nicholas Robertson","TOR","L","10","97.883333333333","1","0","0","0","1","100.00"
"945","Valtteri Puustinen","PIT","R","1","8.7","0","1","0","1","1","50.00"
"948","Nicholas Abruzzese","TOR","C","9","82.5","1","0","0","0","1","50.00"
"956","Connor Mackey","CGY","D","3","40.216666666667","0","1","0","1","1","100.00"
"964","Jack Quinn","BUF","R","2","23.616666666667","0","1","0","1","1","100.00"
"970","Lukas Reichel","CHI","L","11","124.33333333333","0","1","0","1","1","100.00"
"972","Alexander Holtz","N.J","R","9","90.033333333333","0","1","1","0","1","50.00"
"975","Hendrix Lapierre","WSH","C","6","51.8","1","0","0","0","1","33.33"
"987","Daniil Miromanov","VGK","D","11","104.08333333333","0","1","0","1","1","25.00"
"988","Alex Steeves","TOR","C","3","23.916666666667","0","1","0","1","1","100.00"
"992","Jackson Cates","PHI","C","11","93.383333333333","1","0","0","0","1","33.33"
"994","Kent Johnson","CBJ","C","9","98.65","0","1","1","0","1","25.00"
"996","William Eklund","S.J","C, L","9","108.05","0","1","1","0","1","100.00"
"1001","Jesper Froden","BOS","R","7","79.85","1","0","0","0","1","25.00"
"1004","Ben Meyers","COL","C","5","48.65","1","0","0","0","1","100.00"
"45","Alex Biega","TOR","D","2","25.583333333333","0","0","0","0","0","-"
"51","Leo Komarov","NYI","R","1","10.833333333333","0","0","0","0","0","-"
"75","Thomas Hickey","NYI","D","2","32.483333333333","0","0","0","0","0","-"
"109","Zac Dalpe","FLA","C","1","6.1333333333333","0","0","0","0","0","-"
"123","Luke Witkowski","DET","D","1","9.3","0","0","0","0","0","-"
"148","John Moore","BOS","D","7","97.333333333333","0","0","0","0","0","0.00"
"155","Richard Panik","NYI","R","4","45.433333333333","0","0","0","0","0","-"
"172","Andrew Agozzino","OTT","L","1","6.8666666666667","0","0","0","0","0","-"
"198","Chris Wagner","BOS","R","1","13.266666666667","0","0","0","0","0","-"
"219","Alex Belzile","MTL","R","11","96.566666666667","0","0","0","0","0","0.00"
"225","Max McCormick","SEA","L","10","78.316666666667","0","0","0","0","0","0.00"
"231","Fredrik Claesson","T.B","D","9","85.366666666667","0","0","0","0","0","0.00"
"236","T.J. Tynan","L.A","C","2","17.3","0","0","0","0","0","-"
"239","Steven Fogarty","BOS","C","2","20.383333333333","0","0","0","0","0","-"
"244","Kyle Rau","MIN","C","5","40.766666666667","0","0","0","0","0","-"
"247","Rocco Grimaldi","NSH","R","7","63.816666666667","0","0","0","0","0","0.00"
"269","Sven Baertschi","VGK","L","1","13.866666666667","0","0","0","0","0","-"
"275","Stefan Noesen","CAR","R","2","26.016666666667","0","0","0","0","0","0.00"
"279","Seth Griffith","EDM","C","1","5.6166666666667","0","0","0","0","0","0.00"
"280","Turner Elson","DET","C","2","26.65","0","0","0","0","0","0.00"
"283","Kurtis Gabriel","CHI","R","2","12.05","0","0","0","0","0","-"
"297","Stefan Matteau","COL","C","1","3.65","0","0","0","0","0","-"
"327","Martin Frk","L.A","R","6","58.5","0","0","0","0","0","-"
"341","Paul LaDue","NYI","D","1","11.05","0","0","0","0","0","-"
"345","Riley Barber","DET","R","4","29.933333333333","0","0","0","0","0","0.00"
"365","Tyler Lewington","BOS","D","2","22.033333333333","0","0","0","0","0","-"
"374","Hudson Fasching","ARI","R","11","105.83333333333","0","0","0","0","0","-"
"382","Mason Geertsen","N.J","D","25","173.31666666667","0","0","0","0","0","0.00"
